urun_adi,fiyat
"Lenovo AMD Ryzen 5 PRO 14"" Gaming Laptop 32GB RAM 1TB SSD RADEON RX Windows 11",25576.701
"15.6"" HP ProBook Laptop PC: Intel i5-8250U! 16GB RAM, 480GB SSD! CD/DVD Burner!",11399.35203
"Lenovo ThinkPad L380 Yoga 13.3"" HD Laptop PC Core i5 16GB RAM 512GB SSD Win 11",10173.89073
"HP EliteBook 845 G8 14"" FHD AMD Ryzen 7 PRO 5850U 16GB 512GB SSD W11P Webcam, SL",11101.74
"Dell Latitude 5430 14"" Laptop Intel i5-1245U 16GB RAM 512GB M.2 Windows 11 Pro",9179.85801
"2025 Lenovo IdeaPad 5 2-in-1 14"" WUXGA Touch Ryzen AI 7 350 16GB RAM 1TB SSD W11",22587.771
"Lenovo IdeaPad Flex 5 14"" FHD+ Chrome 14IAU7 Laptop i5-1334U 8GB RAM 256GB Ob A",8326.305
"Dell Latitude 5420 Laptop - 2.6 GHz i5-1145G7 16GB 512GB SSD - 14"" Touchscreen",9351.081
2025 Dell Laptop Inspiron 15.6 Touch Intel i5-1235U 32GB RAM 1TB SSD Win 11 PRO,27284.661
Dell Alienware 16 Aurora Gaming Laptop Intel 7 240H 1TB SSD 32GB RAM Win 11 Home,40563.19602
"HP 14"" Laptop UpTo 3.6 GHz Intel professor N150 16GB RAM 128eMMC -",7647.390899999999
"Acer Aspire 3 15.6""Laptop AMD Ryzen 5 7520U 2.8GHz 8GB RAM 512GB SSD Refurbished",10674.32301
HP 17-cn0008cy 17in Touch Laptop Intel i3-1125G4 8gb 512gb SSD Win10,12681.17601
HP EliteBook 840 G8 14-inch FHD i7 32GB RAM 1TB SSD W11 Pro Laptop,20922.08301
"NEW HP 15-fd0133wm 15.6"" Laptop, Intel i3 13th gen 8GB RAM 256GB SSD Silver",11913.021
Dell XPS 15 9500 15.6” FHD Laptop Core i7 16GB RAM 512GB SSD Win 11 Pro NVIDIA,18852.03549
CHUWI HeroBook Pro 14.1 Intel Celeron N4020 Windows 11 Laptop 256GB SSD 8GB RAM,7899.315
Lenovo ThinkPad L13 Yoga i5-10210U | 256GB SSD | 8GB RAM | Win 11 Pro B100,6404.42301
"Dell Latitude Touchscreen 13.3"" HD Laptop PC Core i5 8GB RAM 256GB SSD Win 11",8947.148459999999
"Dell Latitude 5520 Laptop - 2.6 GHz i5-1145G7 16GB 512GB SSD - 15.6"" Touchscreen",14432.262
Lot of 4 HP ProBook 450 G7 - Intel Core i5 10th Gen 16GB RAM 256GB SSD No OS,18146.64801
"HP EliteBook XG1i 14"" WUXGA Intel Ultra 7 256V 2.1GHz 16GB 512GB SSD W11P Laptop",30700.581
